name,place_id,RY,Monday F,Tuesday F,Wednesday F,Thursday F,Friday F,Saturday F,Sunday F,Total F,Conclusion,categories_yelp,types,geometry_location_lng,geometry_location_lat
Wendy's,ChIJ-5MVM-kIzkwRseUUmYywMzs,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Fast Food, Burgers","restaurant,food,point of interest,establishment",-75.6465446,45.3531588
Popeyes Louisiana Kitchen,ChIJ-5QA6iEHzkwR-zwnQTBZgwY,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Seafood, Chicken Shop, Fast Food","restaurant,food,point of interest,establishment",-75.7595131,45.3500588
Popeyes Louisiana Kitchen,ChIJ-5QA6iEHzkwR-zwnQTBZgwY,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Seafood, Chicken Shop, Fast Food","restaurant,food,point of interest,establishment",-75.7595131,45.3500588
Pizza Hut,ChIJ-5WxGaIAzkwRoyYg6HHLwW8,2020-05-25,2,2,2,2,1,1,2,12,Remained Open,"Pizza, Italian","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.8192541,45.3282427
Pizza Hut,ChIJ-5WxGaIAzkwRoyYg6HHLwW8,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Italian","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.8192541,45.3282427
Mimi's Donuts,ChIJ-67_g4fjzUwRkmBuyc64-U4,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,bakery,food,point of interest,store,establishment",-75.6819242,45.2292957
Mimi's Donuts,ChIJ-67_g4fjzUwRkmBuyc64-U4,2020-05-27,0,0,0,0,-10,-10,-6,-26,Closed Since Last Reference,NA,"cafe,bakery,food,point of interest,store,establishment",-75.6819242,45.2292957
Willy’s pizza Stittsville,ChIJ-6AGxlX_zUwRZwr_Pwtt628,2020-05-25,-1,-1,-1,-2,-2,-2,-1,-10,Remained Open,Pizza,"meal delivery,restaurant,food,point of interest,establishment",-75.9252963,45.2618122
Willy’s pizza Stittsville,ChIJ-6AGxlX_zUwRZwr_Pwtt628,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Pizza,"meal delivery,restaurant,food,point of interest,establishment",-75.9252963,45.2618122
The Soca Kitchen,ChIJ-6oOgj0EzkwRDDemHp47E-A,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Latin American, Spanish, Live/Raw Food","restaurant,bar,food,point of interest,establishment",-75.732203,45.400604
The Soca Kitchen,ChIJ-6oOgj0EzkwRDDemHp47E-A,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Latin American, Spanish, Live/Raw Food","restaurant,bar,food,point of interest,establishment",-75.732203,45.400604
Charlie Chan,ChIJ-78vxpkPzkwRtGfQx37rPrI,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.5221175,45.4493348
Charlie Chan,ChIJ-78vxpkPzkwRtGfQx37rPrI,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.5221175,45.4493348
Pharmasave Respect Rx,ChIJ-7hJlBMFzkwRUP593nKZsAA,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6690603,45.4321472
Pharmasave Respect Rx,ChIJ-7hJlBMFzkwRUP593nKZsAA,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6690603,45.4321472
I.D.A. - Embrun Compounding Pharmacy,ChIJ-7WqzWp4zkwRRK7xY3SFLKA,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.2847898,45.2715115
I.D.A. - Embrun Compounding Pharmacy,ChIJ-7WqzWp4zkwRRK7xY3SFLKA,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.2847898,45.2715115
Country Style,ChIJ-87yiGETzkwRiTKJa4DSebo,2020-05-25,0,0,0,0,0,0,0,0,Remained Closed,NA,"restaurant,food,point of interest,store,establishment",-75.4830632,45.450787
Country Style,ChIJ-87yiGETzkwRiTKJa4DSebo,2020-05-27,0,0,0,0,0,0,0,0,Remained Closed,NA,"restaurant,food,point of interest,store,establishment",-75.4830632,45.450787
La Fromentine,ChIJ-8KDJ04DzkwRrgaxUIC-auE,2020-05-25,-2,-2,-2,-2,-2,0,0,-10,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7410251,45.4600389
La Fromentine,ChIJ-8KDJ04DzkwRrgaxUIC-auE,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7410251,45.4600389
Tapas on Thyme Catering,ChIJ-8OEdq_BzUwRl4nJhYyXpWk,2020-05-25,0,0,0,0,0,0,0,0,Remained Closed,NA,"restaurant,food,point of interest,establishment",-75.5961664,45.0359075
Tapas on Thyme Catering,ChIJ-8OEdq_BzUwRl4nJhYyXpWk,2020-05-27,0,0,0,0,0,0,0,0,Remained Closed,NA,"restaurant,food,point of interest,establishment",-75.5961664,45.0359075
Food Stop Inc.,ChIJ-9jj-wb7zUwRBqipgqRpyq4,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.8412056,45.1925259
Food Stop Inc.,ChIJ-9jj-wb7zUwRBqipgqRpyq4,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.8412056,45.1925259
CENTRESanté,ChIJ-9LMQoYBzkwRO_LyWURxI_Y,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.8232128,45.3978794
CENTRESanté,ChIJ-9LMQoYBzkwRO_LyWURxI_Y,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.8232128,45.3978794
Hung Mein,ChIJ-9wnxDQHzkwRazkoJLNM0zs,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Chinese,"restaurant,food,point of interest,establishment",-75.7872889,45.3416712
Hung Mein,ChIJ-9wnxDQHzkwRazkoJLNM0zs,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Chinese,"restaurant,food,point of interest,establishment",-75.7872889,45.3416712
"Proxim pharmacie affiliée - Banville, Dessureault et Haddad",ChIJ-aTrE4YBzkwR3L7s_eVfTrk,2020-05-25,-2,-2,-2,-2,-2,0,0,-10,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.8235674,45.3960885
"Proxim pharmacie affiliée - Banville, Dessureault et Haddad",ChIJ-aTrE4YBzkwR3L7s_eVfTrk,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.8235674,45.3960885
Taj Indian Cuisine,ChIJ-b8jc94AzkwR-aLC7O_8tyM,2020-05-25,0,0,0,0,0,-2.5,-0.5,-3,Remained Open,"Indian, Vegan, Gluten-Free","restaurant,food,point of interest,establishment",-75.805361,45.355295
Taj Indian Cuisine,ChIJ-b8jc94AzkwR-aLC7O_8tyM,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Indian, Vegan, Gluten-Free","restaurant,food,point of interest,establishment",-75.805361,45.355295
Table des Trois Vallées,ChIJ-c6YddI_zkwRFVCneaR40xI,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.4002599,45.5862069
Table des Trois Vallées,ChIJ-c6YddI_zkwRFVCneaR40xI,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.4002599,45.5862069
McDonald's,ChIJ-cxWyBYSzkwRGnXnbi5U3_Q,2020-05-25,-15,-15,-15,-15,-15,-15,-15,-105,Closed Since Last Reference,NA,"cafe,restaurant,food,point of interest,establishment",-75.508367,45.4519077
McDonald's,ChIJ-cxWyBYSzkwRGnXnbi5U3_Q,2020-05-27,0,0,0,0,0,0,0,0,Remained Closed,NA,"cafe,restaurant,food,point of interest,establishment",-75.508367,45.4519077
Tim Hortons,ChIJ-cxWyBYSzkwRq1zW4lZWSf8,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,food,point of interest,establishment",-75.5085021,45.4513404
Tim Hortons,ChIJ-cxWyBYSzkwRq1zW4lZWSf8,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,food,point of interest,establishment",-75.5085021,45.4513404
Grunt,ChIJ-d2Ho2IFzkwRpLcQMB_Blb0,2020-05-25,0,-3,0,0,0,0,0,-3,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7306323,45.4072439
Grunt,ChIJ-d2Ho2IFzkwRpLcQMB_Blb0,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7306323,45.4072439
