name,place_id,RY,Monday F,Tuesday F,Wednesday F,Thursday F,Friday F,Saturday F,Sunday F,Total F,Conclusion,categories_yelp,types,geometry_location_lng,geometry_location_lat
Pizza Pizza,ChIJ4ySRuIUPzkwR5lxyvX9LgKg,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Pizza, Pizza","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.6358092,45.4228813
Pizza Pizza,ChIJ4ySRuIUPzkwR5lxyvX9LgKg,2020-05-27,-0.016666667,-0.016666667,-0.016666667,-0.016666667,0,0,-0.016666667,-0.083333333,Remained Open,"Pizza, Pizza, Pizza","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.6358092,45.4228813
DEPANNEUR ST PIERRE,ChIJ4yuEhV7Y0UwRebnKeG7LcP4,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7195917,45.7377906
DEPANNEUR ST PIERRE,ChIJ4yuEhV7Y0UwRebnKeG7LcP4,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7195917,45.7377906
Tim Hortons,ChIJ4ywXrVYEzkwRUXh1G3YKEJ4,2020-05-25,-24,-24,-24,-24,-24,-24,-24,-168,Closed Since Last Reference,Cafes,"cafe,food,point of interest,establishment",-75.7042719,45.4189192
Tim Hortons,ChIJ4ywXrVYEzkwRUXh1G3YKEJ4,2020-05-27,23.98333333,0,0,0,0,0,0,23.98333333,Opened Since Last Reference,Cafes,"cafe,food,point of interest,establishment",-75.7042719,45.4189192
Midori Market Navan a.k.a Sandy Pizza,ChIJ4yXok4INzkwRQMKqwe66FJw,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Convenience Stores","restaurant,food,point of interest,establishment",-75.4891366,45.4265212
Midori Market Navan a.k.a Sandy Pizza,ChIJ4yXok4INzkwRQMKqwe66FJw,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Convenience Stores","restaurant,food,point of interest,establishment",-75.4891366,45.4265212
The Café Colonnade,ChIJ4zDMla4FzkwRkEy5gnZsv88,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,food,point of interest,establishment",-75.6916528,45.4156781
The Café Colonnade,ChIJ4zDMla4FzkwRkEy5gnZsv88,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,food,point of interest,establishment",-75.6916528,45.4156781
Desk Nibbles,ChIJ4zG9K0AEzkwRmBJ6FUUYoGE,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"meal takeaway,restaurant,food,point of interest,establishment",-75.7279182,45.4097041
Desk Nibbles,ChIJ4zG9K0AEzkwRmBJ6FUUYoGE,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"meal takeaway,restaurant,food,point of interest,establishment",-75.7279182,45.4097041
Mino Mart,ChIJ4zvBODwEzkwRHY-QzfhYtWM,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"supermarket,grocery or supermarket,food,point of interest,store,establishment",-75.7280064,45.4013509
Mino Mart,ChIJ4zvBODwEzkwRHY-QzfhYtWM,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"supermarket,grocery or supermarket,food,point of interest,store,establishment",-75.7280064,45.4013509
Shoppers Drug Mart,ChIJ5--TXo0a0kwRVzzuuqKiGjw,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-76.1854813,45.2348132
Shoppers Drug Mart,ChIJ5--TXo0a0kwRVzzuuqKiGjw,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-76.1854813,45.2348132
Eva's Chip Wagon,ChIJ5-aqKM7hzUwR8LEQKAh76iU,2020-05-25,-13,-13,-13,-13,-13,-12,-12,-89,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.5717138,45.2813868
Eva's Chip Wagon,ChIJ5-aqKM7hzUwR8LEQKAh76iU,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.5717138,45.2813868
Drew’s Chewz,ChIJ5-UQyRwBzkwR36Liz_2Tm-o,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.8233013,45.3257377
Drew’s Chewz,ChIJ5-UQyRwBzkwR36Liz_2Tm-o,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.8233013,45.3257377
DreamLand Cafe,ChIJ5_BIwpoFzkwR9u593ltjjnM,2020-05-25,0,-10,-10,-5,-6,-6,1,-36,Remained Open,"Cafes, Italian","cafe,restaurant,food,point of interest,establishment",-75.7119476,45.4043823
DreamLand Cafe,ChIJ5_BIwpoFzkwR9u593ltjjnM,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Cafes, Italian","cafe,restaurant,food,point of interest,establishment",-75.7119476,45.4043823
Shoppers Drug Mart,ChIJ5_Qo4IUFzkwRp6ZlZX5pdiU,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Drugstores,"pharmacy,health,point of interest,store,establishment",-75.6572575,45.4088015
Shoppers Drug Mart,ChIJ5_Qo4IUFzkwRp6ZlZX5pdiU,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Drugstores,"pharmacy,health,point of interest,store,establishment",-75.6572575,45.4088015
Shawarma Master,ChIJ5_y6qAD_zUwRT-ExEUKcSN4,2020-05-25,2,2,2,2,2,9.5,2.5,22,Remained Open,Mediterranean,"restaurant,food,point of interest,establishment",-75.87081,45.2906494
Shawarma Master,ChIJ5_y6qAD_zUwRT-ExEUKcSN4,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Mediterranean,"restaurant,food,point of interest,establishment",-75.87081,45.2906494
Bravo Pizza,ChIJ50E3gHgazkwRRC_5AoieoZg,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.6074486,45.495535
Bravo Pizza,ChIJ50E3gHgazkwRRC_5AoieoZg,2020-05-27,0,0,-0.016666667,-0.016666667,0,0,0,-0.033333333,Remained Open,NA,"meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.6074486,45.495535
Bar billard le Huit,ChIJ50SNg0YbzkwRgX31Oq8veBI,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"bar,point of interest,establishment",-75.7018569,45.4713185
Bar billard le Huit,ChIJ50SNg0YbzkwRgX31Oq8veBI,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"bar,point of interest,establishment",-75.7018569,45.4713185
Chatime Bubble Tea,ChIJ51ilS0wEzkwRQ2CbCs7DuYM,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Tea Rooms,"cafe,food,point of interest,establishment",-75.7060566,45.4114658
Chatime Bubble Tea,ChIJ51ilS0wEzkwRQ2CbCs7DuYM,2020-05-27,0,0,0,0,-0.016666667,-0.016666667,0,-0.033333333,Remained Open,Tea Rooms,"cafe,food,point of interest,establishment",-75.7060566,45.4114658
Ocho Rios Caribbean Eatery,ChIJ51z3w6gIzkwR8Fcw0Feq6uI,2020-05-25,0,-1.5,-1.5,-1.5,-2,-2,0,-8.5,Remained Open,Caribbean,"meal delivery,restaurant,food,point of interest,establishment",-75.6650883,45.371989
Ocho Rios Caribbean Eatery,ChIJ51z3w6gIzkwR8Fcw0Feq6uI,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Caribbean,"meal delivery,restaurant,food,point of interest,establishment",-75.6650883,45.371989
Mekong,ChIJ533RqE0EzkwR_vsBf-E-_Hg,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Chinese, Vietnamese","restaurant,food,point of interest,establishment",-75.7048974,45.4120407
Mekong,ChIJ533RqE0EzkwR_vsBf-E-_Hg,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Chinese, Vietnamese","restaurant,food,point of interest,establishment",-75.7048974,45.4120407
Little Caesars Pizza,ChIJ53G__HX_zUwRVSb0f5hC_Bs,2020-05-25,-1,-1,-1,-1,-3,-3,-1,-11,Remained Open,Pizza,"meal takeaway,restaurant,food,point of interest,establishment",-75.8940355,45.2935799
Little Caesars Pizza,ChIJ53G__HX_zUwRVSb0f5hC_Bs,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Pizza,"meal takeaway,restaurant,food,point of interest,establishment",-75.8940355,45.2935799
Burger King,ChIJ53LgBEobzkwR8IWLG4Cb_PQ,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7008536,45.4656288
Burger King,ChIJ53LgBEobzkwR8IWLG4Cb_PQ,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7008536,45.4656288
Pesto's Deli & Sandwich Shop,ChIJ54TcNJ__zUwRGrTdoiuDAzE,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Delis, Sandwiches, Italian","meal takeaway,cafe,restaurant,food,point of interest,store,establishment",-75.8896892,45.2984411
Pesto's Deli & Sandwich Shop,ChIJ54TcNJ__zUwRGrTdoiuDAzE,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Delis, Sandwiches, Italian","meal takeaway,cafe,restaurant,food,point of interest,store,establishment",-75.8896892,45.2984411
Egg Roll Plus,ChIJ54TcNJ__zUwRviAReGQemcA,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Chinese,"restaurant,food,point of interest,establishment",-75.8899039,45.2984133
Egg Roll Plus,ChIJ54TcNJ__zUwRviAReGQemcA,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Chinese,"restaurant,food,point of interest,establishment",-75.8899039,45.2984133
Presto Grab & Go / OCT Tire & Repair Shop,ChIJ54vai51vzkwRWVdblQsixHw,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,home goods store,food,point of interest,store,establishment",-75.2396162,45.4398844
Presto Grab & Go / OCT Tire & Repair Shop,ChIJ54vai51vzkwRWVdblQsixHw,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,home goods store,food,point of interest,store,establishment",-75.2396162,45.4398844
Centrale Bergham,ChIJ54z1zMsBzkwRLmtGPXui8l0,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.8072973,45.3543178
Centrale Bergham,ChIJ54z1zMsBzkwRLmtGPXui8l0,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.8072973,45.3543178
Flavours of Kerala,ChIJ55_Qsp__0UwRxFF-AyduMGw,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Indian,"restaurant,food,point of interest,establishment",-75.9332597,45.3542029
Flavours of Kerala,ChIJ55_Qsp__0UwRxFF-AyduMGw,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Indian,"restaurant,food,point of interest,establishment",-75.9332597,45.3542029
East Feast Pak Indian Cuisine and Take Out,ChIJ55cTPJARzkwRwRQeSGKcM9s,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Indian, Pakistani","restaurant,food,point of interest,establishment",-75.532436,45.467182
East Feast Pak Indian Cuisine and Take Out,ChIJ55cTPJARzkwRwRQeSGKcM9s,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Indian, Pakistani","restaurant,food,point of interest,establishment",-75.532436,45.467182
Raymonds,ChIJ55v7nODnzUwRWGQ6rNIfmEo,2020-05-25,0,0,1,0,0,1,0,2,Remained Open,NA,"convenience store,food,point of interest,store,establishment",-75.6067956,45.1457595
Raymonds,ChIJ55v7nODnzUwRWGQ6rNIfmEo,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"convenience store,food,point of interest,store,establishment",-75.6067956,45.1457595
Authentic Vietnamese Pho House (GREENBANK LOCATION),ChIJ56MwslsHzkwRnRyllIylnZ8,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Vietnamese,"restaurant,food,point of interest,establishment",-75.7796755,45.3253642
Authentic Vietnamese Pho House (GREENBANK LOCATION),ChIJ56MwslsHzkwRnRyllIylnZ8,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Vietnamese,"restaurant,food,point of interest,establishment",-75.7796755,45.3253642
D.J. Nels Plus,ChIJ57EoxEEFzkwRjGiJJOl1wmg,2020-05-25,-24,-24,-24,-24,-24,-24,-24,-168,Closed Since Last Reference,NA,"restaurant,food,point of interest,establishment",-75.658169,45.4376211
D.J. Nels Plus,ChIJ57EoxEEFzkwRjGiJJOl1wmg,2020-05-27,0,0,0,0,0,0,0,0,Remained Closed,NA,"restaurant,food,point of interest,establishment",-75.658169,45.4376211
Bridgehead,ChIJ57gjjVMEzkwRmM8DkkIokxg,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Coffee & Tea,"cafe,food,point of interest,store,establishment",-75.7026261,45.4179289
Bridgehead,ChIJ57gjjVMEzkwRmM8DkkIokxg,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Coffee & Tea,"cafe,food,point of interest,store,establishment",-75.7026261,45.4179289
A&W Canada,ChIJ587M-a0A0kwR_RdZjZim0Y4,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.940279,45.267515
A&W Canada,ChIJ587M-a0A0kwR_RdZjZim0Y4,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.940279,45.267515
Churchills,ChIJ58oedAIEzkwRuqwfTuRwSiI,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"British, Pubs","bar,restaurant,food,point of interest,establishment",-75.754418,45.391679
Churchills,ChIJ58oedAIEzkwRuqwfTuRwSiI,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"British, Pubs","bar,restaurant,food,point of interest,establishment",-75.754418,45.391679
East Side Mario's Ottawa (Hunt Club),ChIJ594v87wHzkwRFsv9qcnyezU,2020-05-25,-8,-8,-9,-9,-10,-9,-7,-60,Remained Open,"Italian, Pizza, American (Traditional)","restaurant,food,point of interest,establishment",-75.7257321,45.333603
East Side Mario's Ottawa (Hunt Club),ChIJ594v87wHzkwRFsv9qcnyezU,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Italian, Pizza, American (Traditional)","restaurant,food,point of interest,establishment",-75.7257321,45.333603
Tim Hortons,ChIJ597tdygJzkwR3N1SAFtWGgo,2020-05-25,0,0,0,0,0,-14,-14,-28,Remained Open,"Coffee & Tea, Bakeries","cafe,food,point of interest,establishment",-75.6201759,45.3640812
Tim Hortons,ChIJ597tdygJzkwR3N1SAFtWGgo,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Coffee & Tea, Bakeries","cafe,food,point of interest,establishment",-75.6201759,45.3640812
The Burger's Priest,ChIJ59q7WecHzkwRpuiMJOv7vyQ,2020-05-25,10.5,10.5,10.5,11,11,11,10,74.5,Opened Since Last Reference,NA,"restaurant,food,point of interest,establishment",-75.7371364,45.362926
The Burger's Priest,ChIJ59q7WecHzkwRpuiMJOv7vyQ,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7371364,45.362926
Subway,ChIJ5ak7RYoRzkwR_qhZ8c1RAfE,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"meal takeaway,restaurant,food,point of interest,establishment",-75.5237675,45.4609577
Subway,ChIJ5ak7RYoRzkwR_qhZ8c1RAfE,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"meal takeaway,restaurant,food,point of interest,establishment",-75.5237675,45.4609577
Broadway Bar & Grill,ChIJ5ak7RYoRzkwRHmxF_7EalXU,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Bars, Canadian (New)","bar,restaurant,food,point of interest,establishment",-75.5235697,45.4605512
Broadway Bar & Grill,ChIJ5ak7RYoRzkwRHmxF_7EalXU,2020-05-27,-0.016666667,0,0,0,0,0,0,-0.016666667,Remained Open,"Bars, Canadian (New)","bar,restaurant,food,point of interest,establishment",-75.5235697,45.4605512
Rexall Drugstore,ChIJ5ak7RYoRzkwRmsmNgC_Y2-o,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,beauty salon,convenience store,food,health,point of interest,store,establishment",-75.5254697,45.4612124
Rexall Drugstore,ChIJ5ak7RYoRzkwRmsmNgC_Y2-o,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,beauty salon,convenience store,food,health,point of interest,store,establishment",-75.5254697,45.4612124
Lucky Star Chinese Food,ChIJ5ak7RYoRzkwROzgN6fHZpos,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Chinese,"meal takeaway,restaurant,food,point of interest,establishment",-75.5236984,45.4607832
Lucky Star Chinese Food,ChIJ5ak7RYoRzkwROzgN6fHZpos,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Chinese,"meal takeaway,restaurant,food,point of interest,establishment",-75.5236984,45.4607832
Cedar Valley Restaurant,ChIJ5ak7RYoRzkwRp0l1iUEF2yY,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Canadian (New),"restaurant,food,point of interest,establishment",-75.523753,45.461065
Cedar Valley Restaurant,ChIJ5ak7RYoRzkwRp0l1iUEF2yY,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Canadian (New),"restaurant,food,point of interest,establishment",-75.523753,45.461065
Domino's Pizza,ChIJ5bwDKIwFzkwRx7Ad1m8XTVg,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Pizza,"restaurant,food,point of interest,establishment",-75.7253399,45.4027952
Domino's Pizza,ChIJ5bwDKIwFzkwRx7Ad1m8XTVg,2020-05-27,-0.016666667,-0.016666667,-0.016666667,0,0,0,-0.016666667,-0.066666667,Remained Open,Pizza,"restaurant,food,point of interest,establishment",-75.7253399,45.4027952
Dynasty Cafe & Bar,ChIJ5bWRUuMPzkwR-_LIJ-sKBJ8,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Cafes,"cafe,bar,restaurant,food,point of interest,store,establishment",-75.6449166,45.4412106
Dynasty Cafe & Bar,ChIJ5bWRUuMPzkwR-_LIJ-sKBJ8,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Cafes,"cafe,bar,restaurant,food,point of interest,store,establishment",-75.6449166,45.4412106
Chili Thai Takeout,ChIJ5bxwwakRzkwRt2IbXzaOAbA,2020-05-25,0,-2,-2,0,0,-2,0,-6,Remained Open,Thai,"restaurant,food,point of interest,establishment",-75.513552,45.476685
Chili Thai Takeout,ChIJ5bxwwakRzkwRt2IbXzaOAbA,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Thai,"restaurant,food,point of interest,establishment",-75.513552,45.476685
Tim Hortons,ChIJ5c-EkxQFzkwRFtJ1OgF-50o,2020-05-25,0,0,0,0,0,0,0,0,Remained Closed,NA,"cafe,food,point of interest,establishment",-75.6660457,45.4340638
Tim Hortons,ChIJ5c-EkxQFzkwRFtJ1OgF-50o,2020-05-27,0,0,0,0,0,0,0,0,Remained Closed,NA,"cafe,food,point of interest,establishment",-75.6660457,45.4340638
Tim Hortons,ChIJ5c-EkxQFzkwRnnvSeNXak3M,2020-05-25,-7,-7,-7,-7,-7,-7,-7,-49,Remained Open,"Coffee & Tea, Bakeries","cafe,food,point of interest,establishment",-75.6667104,45.4344382
Tim Hortons,ChIJ5c-EkxQFzkwRnnvSeNXak3M,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Coffee & Tea, Bakeries","cafe,food,point of interest,establishment",-75.6667104,45.4344382
Lone Star Texas Grill,ChIJ5ccGkoMTzkwR0XGM1BZUfL0,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Burgers, Steakhouses, Tex-Mex","restaurant,food,point of interest,establishment",-75.5037617,45.4556715
Lone Star Texas Grill,ChIJ5ccGkoMTzkwR0XGM1BZUfL0,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Burgers, Steakhouses, Tex-Mex","restaurant,food,point of interest,establishment",-75.5037617,45.4556715
Le Cachet,ChIJ5e4sgg8bzkwRnU1IW2Sm_v8,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.6745409,45.4897663
Le Cachet,ChIJ5e4sgg8bzkwRnU1IW2Sm_v8,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.6745409,45.4897663
Pharmasave,ChIJ5f7VahMFzkwR88ufJJ6FuYI,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6684001,45.4320209
Pharmasave,ChIJ5f7VahMFzkwR88ufJJ6FuYI,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6684001,45.4320209
Davids Restaurant Service,ChIJ5fUmO_4FzkwRB_9AXkzIL-E,2020-05-25,0,0,0,0,0,0,0,0,Remained Closed,NA,"restaurant,food,point of interest,establishment",-75.6703155,45.3809651
Davids Restaurant Service,ChIJ5fUmO_4FzkwRB_9AXkzIL-E,2020-05-27,0,0,0,0,0,0,0,0,Remained Closed,NA,"restaurant,food,point of interest,establishment",-75.6703155,45.3809651
Pelican Seafood Market and Grill,ChIJ5fUmO_4FzkwRgHvw_PSqK9M,2020-05-25,0,-0.5,-0.5,-1,-1,-1,0,-4,Remained Open,"Seafood, Seafood Markets","restaurant,food,point of interest,establishment",-75.6704191,45.3810861
Pelican Seafood Market and Grill,ChIJ5fUmO_4FzkwRgHvw_PSqK9M,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Seafood, Seafood Markets","restaurant,food,point of interest,establishment",-75.6704191,45.3810861
Health Smart Pharmacy,ChIJ5fUmO_4FzkwRIh8NzYRYPUk,2020-05-25,-4,-4,-4,-4,-4,-1,0,-21,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6703229,45.3810128
Health Smart Pharmacy,ChIJ5fUmO_4FzkwRIh8NzYRYPUk,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6703229,45.3810128
Rexall Drugstore,ChIJ5fWirAr_0UwRNJM_1Cno8do,2020-05-25,-1,-1,-1,-1,-1,-1,-1,-7,Remained Open,NA,"pharmacy,beauty salon,convenience store,food,health,point of interest,store,establishment",-75.9336272,45.3568027
Rexall Drugstore,ChIJ5fWirAr_0UwRNJM_1Cno8do,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,beauty salon,convenience store,food,health,point of interest,store,establishment",-75.9336272,45.3568027
Remedy'sRx - South Ottawa Pharmacy,ChIJ5QWlSgMJzkwRf_XMB0Aonk4,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6271872,45.3463836
Remedy'sRx - South Ottawa Pharmacy,ChIJ5QWlSgMJzkwRf_XMB0Aonk4,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6271872,45.3463836
Meal Prep Ottawa,ChIJ5Rg7M_UHzkwRDoCoes4JzVE,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7283501,45.3806314
Meal Prep Ottawa,ChIJ5Rg7M_UHzkwRDoCoes4JzVE,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7283501,45.3806314
Marcies Café,ChIJ5RTCt_EPzkwR-aHGZhdzLk4,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.6333622,45.3800477
Marcies Café,ChIJ5RTCt_EPzkwR-aHGZhdzLk4,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.6333622,45.3800477
Babylon,ChIJ5S5Tt60FzkwRtB7h8rc9Zaw,2020-05-25,0,0,0,0,0,0,0,0,Remained Closed,"Dive Bars, Music Venues","night club,bar,point of interest,establishment",-75.6954998,45.4145342
Babylon,ChIJ5S5Tt60FzkwRtB7h8rc9Zaw,2020-05-27,0,0,0,0,0,0,0,0,Remained Closed,"Dive Bars, Music Venues","night club,bar,point of interest,establishment",-75.6954998,45.4145342
Pop-O-Bar,ChIJ5SGMnTUbzkwRYc3WG24O9qQ,2020-05-25,17,17,17,17,17,17,17,119,Opened Since Last Reference,NA,"night club,bar,point of interest,establishment",-75.6995103,45.4636494
Pop-O-Bar,ChIJ5SGMnTUbzkwRYc3WG24O9qQ,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"night club,bar,point of interest,establishment",-75.6995103,45.4636494
Moxie's Grill & Bar,ChIJ5TdIz8EPzkwRNkhF9uMcI1U,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Canadian (New), Steakhouses, Lounges","night club,bar,restaurant,food,point of interest,establishment",-75.6117968,45.4337313
Moxie's Grill & Bar,ChIJ5TdIz8EPzkwRNkhF9uMcI1U,2020-05-27,-0.016666667,-0.016666667,-0.016666667,-0.016666667,0,0,-0.016666667,-0.083333333,Remained Open,"Canadian (New), Steakhouses, Lounges","night club,bar,restaurant,food,point of interest,establishment",-75.6117968,45.4337313
Wendy's,ChIJ5TgP_aklVUAR_eYMqxfRLJw,2020-05-25,1,1,1,1,1,0.5,0.5,6,Remained Open,"Fast Food, Burgers","restaurant,food,point of interest,establishment",-75.6314759,45.3826632
Wendy's,ChIJ5TgP_aklVUAR_eYMqxfRLJw,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Fast Food, Burgers","restaurant,food,point of interest,establishment",-75.6314759,45.3826632
Morala Specialty Coffee,ChIJ5U-W97gFzkwRYcezw-p8mzg,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Coffee & Tea, Sandwiches","cafe,food,point of interest,store,establishment",-75.6891235,45.4040279
Morala Specialty Coffee,ChIJ5U-W97gFzkwRYcezw-p8mzg,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Coffee & Tea, Sandwiches","cafe,food,point of interest,store,establishment",-75.6891235,45.4040279
Alta Bank Pharmacy,ChIJ5UdIKfwFzkwR-MEzp9riC_s,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6711692,45.3837957
Alta Bank Pharmacy,ChIJ5UdIKfwFzkwR-MEzp9riC_s,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.6711692,45.3837957
Sunset Grill,ChIJ5UE1AMEFzkwR9Zs3ZPAXbcA,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Breakfast & Brunch, Diners, Canadian (New)","restaurant,food,point of interest,establishment",-75.6853936,45.3993494
Sunset Grill,ChIJ5UE1AMEFzkwR9Zs3ZPAXbcA,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Breakfast & Brunch, Diners, Canadian (New)","restaurant,food,point of interest,establishment",-75.6853936,45.3993494
Pharmasave Kanata,ChIJ5UHyoqb_zUwRi9BbPwVfpPY,2020-05-25,-3,-3,-3,-3,-3,-3,-2,-20,Remained Open,Pharmacy,"pharmacy,health,point of interest,store,establishment",-75.8945595,45.3042714
Pharmasave Kanata,ChIJ5UHyoqb_zUwRi9BbPwVfpPY,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Pharmacy,"pharmacy,health,point of interest,store,establishment",-75.8945595,45.3042714
